review,sentiment
Axis Bank reports strong export growth,Positive
Bajaj Finance reports weak demand in domestic market,Negative
Titan delays expansion project,Negative
Asian Paints attracts foreign investment worth ₹NVIDIA crore,Positive
Adani Enterprises reports strong export growth,Positive
Power Grid announces employee layoffs,Negative
Nykaa share price reaches 52-week high,Positive
NTPC receives major government contract,Positive
Infosys faces legal dispute,Negative
LIC announces employee layoffs,Negative
Reliance Industries receives SEBI approval for new fund,Positive
NTPC reports quarterly loss,Negative
TVS Motors receives SEBI approval for new fund,Positive
SBI announces new EV production plant,Positive
IRCTC announces employee layoffs,Negative
TVS Motors reports rising operating costs,Negative
Bajaj Finance reports strong export growth,Positive
TCS faces SEBI investigation,Negative
NTPC revenue declines by 29%,Negative
Infosys announces new EV production plant,Positive
Adani Enterprises stock falls after weak earnings,Negative
Nykaa share price hits 52-week low,Negative
Coal India faces SEBI investigation,Negative
Tata Power reports record quarterly profit,Positive
Kotak Mahindra Bank receives RBI penalty,Negative
Adani Ports revenue declines by 10%,Negative
Power Grid faces supply chain disruption,Negative
Power Grid project delayed due to regulatory issues,Negative
Titan net profit increases by NPCI%,Positive
TCS expands manufacturing capacity,Positive
Zomato reports rising operating costs,Negative
TVS Motors faces SEBI investigation,Negative
Wipro reports rising operating costs,Negative
JSW Steel launches AI-powered financial platform,Positive
Adani Green reports record quarterly profit,Positive
TVS Motors reports record quarterly profit,Positive
Nestle India misses analyst expectations,Negative
Adani Ports reports strong export growth,Positive
Paytm reports weak demand in domestic market,Negative
Nestle India expands manufacturing capacity,Positive
UltraTech Cement faces legal dispute,Negative
Swiggy faces SEBI investigation,Negative
Asian Paints reports strong digital payment growth,Positive
Reliance Industries revenue declines by 15%,Negative
Tata Motors reports decline in exports,Negative
Infosys receives RBI penalty,Negative
HCLTech stock falls after weak earnings,Negative
Maruti Suzuki reports decline in customer growth,Negative
Asian Paints faces cyber security breach,Negative
ICICI Bank wins infrastructure project worth ₹Google crore,Positive
Adani Enterprises expands manufacturing capacity,Positive
ICICI Bank faces cyber security breach,Negative
Wipro wins infrastructure project worth ₹Flipkart crore,Positive
Tata Steel announces expansion across India,Positive
Vedanta announces new EV production plant,Positive
Vedanta wins infrastructure project worth ₹Amazon crore,Positive
Ashok Leyland reports strong digital payment growth,Positive
Adani Green wins infrastructure project worth ₹Razorpay crore,Positive
Tata Motors receives major government contract,Positive
Maruti Suzuki reports record quarterly profit,Positive
ICICI Bank reports quarterly loss,Negative
Paytm announces employee layoffs,Negative
DLF reports weak demand in domestic market,Negative
Ashok Leyland receives RBI penalty,Negative
UltraTech Cement launches AI-powered financial platform,Positive
JSW Steel stock jumps after strong earnings,Positive
Tata Power reports strong export growth,Positive
Reliance Industries announces new EV production plant,Positive
Tata Motors share price reaches 52-week high,Positive
LIC share price hits 52-week low,Negative
Maruti Suzuki announces expansion across India,Positive
Tata Power revenue declines by 27%,Negative
Vedanta reports decline in customer growth,Negative
Adani Ports faces supply chain disruption,Negative
Coal India reports record quarterly profit,Positive
IRCTC signs partnership with NPCI,Positive
Asian Paints faces supply chain disruption,Negative
NTPC announces new EV production plant,Positive
Adani Ports share price hits 52-week low,Negative
Tata Motors receives RBI penalty,Negative
JSW Steel signs partnership with Google,Positive
Coal India stock jumps after strong earnings,Positive
Asian Paints share price reaches 52-week high,Positive
ITC project delayed due to regulatory issues,Negative
Nestle India reports weak demand in domestic market,Negative
Maruti Suzuki delays expansion project,Negative
Kotak Mahindra Bank launches AI-powered financial platform,Positive
Reliance Industries reports quarterly loss,Negative
Reliance Industries attracts foreign investment worth ₹PhonePe crore,Positive
Power Grid share price reaches 52-week high,Positive
Zomato expands manufacturing capacity,Positive
ICICI Bank receives RBI penalty,Negative
Bajaj Finance faces supply chain disruption,Negative
Adani Enterprises faces legal dispute,Negative
Paytm share price hits 52-week low,Negative
HDFC Bank delays expansion project,Negative
DLF reports decline in customer growth,Negative
UltraTech Cement net profit falls by 29%,Negative
TCS faces cyber security breach,Negative
IRCTC reports rising operating costs,Negative
Maruti Suzuki signs partnership with Flipkart,Positive
Asian Paints revenue declines by 14%,Negative
Adani Ports faces supply chain disruption,Negative
Wipro announces employee layoffs,Negative
Tata Power delays expansion project,Negative
Adani Enterprises faces cyber security breach,Negative
ITC reports quarterly loss,Negative
Wipro revenue declines by 30%,Negative
Coal India declares special dividend,Positive
Power Grid stock jumps after strong earnings,Positive
Tata Motors misses analyst expectations,Negative
Maruti Suzuki announces expansion across India,Positive
Titan reports strong digital payment growth,Positive
Titan receives RBI penalty,Negative
ICICI Bank share price reaches 52-week high,Positive
SBI reports decline in exports,Negative
Tata Power announces expansion across India,Positive
Nestle India reports strong digital payment growth,Positive
Hindustan Unilever delays expansion project,Negative
Tata Steel reports decline in exports,Negative
UltraTech Cement reports weak demand in domestic market,Negative
Coal India receives SEBI approval for new fund,Positive
Tata Power expands manufacturing capacity,Positive
Adani Green revenue grows by NVIDIA%,Positive
TVS Motors stock jumps after strong earnings,Positive
Zomato net profit increases by Google%,Positive
Adani Green reports weak demand in domestic market,Negative
Tata Motors announces new EV production plant,Positive
Kotak Mahindra Bank attracts foreign investment worth ₹Razorpay crore,Positive
SBI reports strong digital payment growth,Positive
ICICI Bank wins infrastructure project worth ₹Google crore,Positive
Adani Green reports quarterly loss,Negative
Axis Bank stock falls after weak earnings,Negative
IRCTC launches AI-powered financial platform,Positive
Kotak Mahindra Bank misses analyst expectations,Negative
Mahindra & Mahindra launches AI-powered financial platform,Positive
Swiggy reports strong digital payment growth,Positive
Adani Green announces expansion across India,Positive
Zomato faces supply chain disruption,Negative
Tata Steel launches AI-powered financial platform,Positive
Adani Green project delayed due to regulatory issues,Negative
Kotak Mahindra Bank reports strong digital payment growth,Positive
Titan net profit increases by Google%,Positive
Paytm announces expansion across India,Positive
LIC faces supply chain disruption,Negative
Maruti Suzuki net profit increases by Razorpay%,Positive
Reliance Industries wins infrastructure project worth ₹Google crore,Positive
Kotak Mahindra Bank reports rising operating costs,Negative
Swiggy signs partnership with Razorpay,Positive
IRCTC project delayed due to regulatory issues,Negative
Mahindra & Mahindra faces legal dispute,Negative
ICICI Bank net profit increases by Amazon%,Positive
Maruti Suzuki revenue grows by NPCI%,Positive
JSW Steel faces supply chain disruption,Negative
Power Grid net profit falls by 12%,Negative
Infosys reports quarterly loss,Negative
Power Grid receives major government contract,Positive
LIC stock jumps after strong earnings,Positive
TVS Motors receives major government contract,Positive
Nykaa faces legal dispute,Negative
ONGC revenue declines by 12%,Negative
Tata Power reports strong digital payment growth,Positive
Swiggy faces supply chain disruption,Negative
Titan wins infrastructure project worth ₹Google crore,Positive
Tata Power announces expansion across India,Positive
ONGC reports decline in customer growth,Negative
Hindustan Unilever attracts foreign investment worth ₹Microsoft crore,Positive
Vedanta attracts foreign investment worth ₹Amazon crore,Positive
NTPC expands manufacturing capacity,Positive
Adani Green receives RBI penalty,Negative
Hindustan Unilever share price hits 52-week low,Negative
Adani Green attracts foreign investment worth ₹Amazon crore,Positive
NTPC faces cyber security breach,Negative
Power Grid receives RBI penalty,Negative
Mahindra & Mahindra reports decline in exports,Negative
Wipro signs partnership with NPCI,Positive
ITC revenue declines by 24%,Negative
Power Grid receives SEBI approval for new fund,Positive
Zomato revenue grows by Amazon%,Positive
JSW Steel announces employee layoffs,Negative
Tata Motors attracts foreign investment worth ₹NVIDIA crore,Positive
Zomato reports strong export growth,Positive
Wipro reports quarterly loss,Negative
Ashok Leyland reports rising operating costs,Negative
Ashok Leyland share price hits 52-week low,Negative
Paytm receives SEBI approval for new fund,Positive
Nestle India revenue grows by NVIDIA%,Positive
Tata Motors faces cyber security breach,Negative
HCLTech faces supply chain disruption,Negative
SBI reports strong export growth,Positive
TCS revenue grows by NPCI%,Positive
Adani Enterprises misses analyst expectations,Negative
ICICI Bank declares special dividend,Positive
Infosys faces supply chain disruption,Negative
Tata Power revenue grows by ISRO%,Positive
NTPC declares special dividend,Positive
Reliance Industries net profit falls by 29%,Negative
UltraTech Cement stock jumps after strong earnings,Positive
LIC faces SEBI investigation,Negative
LIC reports weak demand in domestic market,Negative
Kotak Mahindra Bank faces cyber security breach,Negative
Swiggy delays expansion project,Negative
Maruti Suzuki announces expansion across India,Positive
Reliance Industries project delayed due to regulatory issues,Negative
Nestle India wins infrastructure project worth ₹Microsoft crore,Positive
Tata Power expands manufacturing capacity,Positive
LIC reports quarterly loss,Negative
SBI net profit falls by 10%,Negative
HCLTech announces expansion across India,Positive
Infosys delays expansion project,Negative
LIC receives major government contract,Positive
Swiggy net profit falls by 7%,Negative
Vedanta net profit falls by 27%,Negative
JSW Steel faces legal dispute,Negative
ICICI Bank signs partnership with Microsoft,Positive
Ashok Leyland delays expansion project,Negative
ONGC reports decline in customer growth,Negative
HDFC Bank reports weak demand in domestic market,Negative
ICICI Bank faces legal dispute,Negative
Maruti Suzuki signs partnership with Amazon,Positive
TVS Motors revenue declines by 27%,Negative
Axis Bank revenue grows by NPCI%,Positive
ITC revenue declines by 8%,Negative
Coal India revenue declines by 26%,Negative
IRCTC share price reaches 52-week high,Positive
TCS receives RBI approval,Positive
Titan project delayed due to regulatory issues,Negative
TVS Motors delays expansion project,Negative
Axis Bank announces new EV production plant,Positive
Nykaa stock jumps after strong earnings,Positive
Axis Bank reports strong digital payment growth,Positive
DLF reports strong export growth,Positive
Reliance Industries reports decline in exports,Negative
Wipro expands manufacturing capacity,Positive
Bajaj Finance announces employee layoffs,Negative
Tata Steel attracts foreign investment worth ₹DRDO crore,Positive
Power Grid announces expansion across India,Positive
Adani Ports receives RBI penalty,Negative
NTPC reports weak demand in domestic market,Negative
Bajaj Finance net profit increases by Razorpay%,Positive
Ashok Leyland faces supply chain disruption,Negative
ONGC wins infrastructure project worth ₹NVIDIA crore,Positive
NTPC revenue declines by 22%,Negative
Titan announces new EV production plant,Positive
Mahindra & Mahindra reports rising operating costs,Negative
ITC reports decline in exports,Negative
Adani Enterprises signs partnership with Razorpay,Positive
Paytm attracts foreign investment worth ₹DRDO crore,Positive
ONGC attracts foreign investment worth ₹Microsoft crore,Positive
Titan receives SEBI approval for new fund,Positive
Bajaj Finance announces employee layoffs,Negative
SBI reports strong digital payment growth,Positive
Mahindra & Mahindra receives major government contract,Positive
TVS Motors signs partnership with Amazon,Positive
Adani Green receives RBI penalty,Negative
Zomato reports quarterly loss,Negative
Wipro wins infrastructure project worth ₹Amazon crore,Positive
Ashok Leyland faces SEBI investigation,Negative
Nykaa wins infrastructure project worth ₹Amazon crore,Positive
ITC announces expansion across India,Positive
ITC signs partnership with NVIDIA,Positive
Swiggy reports strong digital payment growth,Positive
ICICI Bank signs partnership with Flipkart,Positive
ICICI Bank launches AI-powered financial platform,Positive
Adani Ports share price reaches 52-week high,Positive
Power Grid delays expansion project,Negative
Nestle India announces expansion across India,Positive
Adani Ports announces new EV production plant,Positive
Zomato net profit falls by 10%,Negative
NTPC faces cyber security breach,Negative
JSW Steel announces new EV production plant,Positive
Asian Paints revenue declines by 23%,Negative
Nestle India expands manufacturing capacity,Positive
Coal India launches AI-powered financial platform,Positive
LIC project delayed due to regulatory issues,Negative
IRCTC reports strong export growth,Positive
HCLTech revenue grows by Jio Platforms%,Positive
TCS share price reaches 52-week high,Positive
Maruti Suzuki misses analyst expectations,Negative
Coal India wins infrastructure project worth ₹Razorpay crore,Positive
LIC faces supply chain disruption,Negative
Maruti Suzuki expands manufacturing capacity,Positive
Tata Motors reports decline in customer growth,Negative
Reliance Industries net profit increases by Razorpay%,Positive
Adani Ports reports strong digital payment growth,Positive
Bajaj Finance announces expansion across India,Positive
JSW Steel receives major government contract,Positive
Wipro faces supply chain disruption,Negative
ICICI Bank receives RBI approval,Positive
Paytm reports decline in customer growth,Negative
Paytm revenue declines by 28%,Negative
Mahindra & Mahindra stock falls after weak earnings,Negative
Reliance Industries revenue declines by 23%,Negative
ICICI Bank delays expansion project,Negative
Nestle India share price reaches 52-week high,Positive
HDFC Bank announces employee layoffs,Negative
HDFC Bank net profit falls by 6%,Negative
Nykaa reports decline in exports,Negative
HDFC Bank declares special dividend,Positive
IRCTC receives RBI approval,Positive
ONGC receives RBI approval,Positive
ONGC wins infrastructure project worth ₹PhonePe crore,Positive
Bajaj Finance launches AI-powered financial platform,Positive
Adani Ports stock jumps after strong earnings,Positive
LIC net profit falls by 6%,Negative
Power Grid announces employee layoffs,Negative
Hindustan Unilever net profit increases by Razorpay%,Positive
Adani Ports net profit increases by NVIDIA%,Positive
Kotak Mahindra Bank announces new EV production plant,Positive
DLF reports decline in exports,Negative
ONGC receives SEBI approval for new fund,Positive
Kotak Mahindra Bank expands manufacturing capacity,Positive
Paytm reports quarterly loss,Negative
Power Grid faces legal dispute,Negative
HCLTech net profit falls by 15%,Negative
Reliance Industries launches AI-powered financial platform,Positive
Bajaj Finance stock jumps after strong earnings,Positive
IRCTC delays expansion project,Negative
UltraTech Cement faces supply chain disruption,Negative
JSW Steel share price hits 52-week low,Negative
Adani Enterprises reports decline in customer growth,Negative
Bajaj Finance stock falls after weak earnings,Negative
Kotak Mahindra Bank misses analyst expectations,Negative
Adani Green faces legal dispute,Negative
TVS Motors declares special dividend,Positive
Mahindra & Mahindra reports strong export growth,Positive
Tata Power faces cyber security breach,Negative
Adani Green revenue grows by Razorpay%,Positive
SBI faces SEBI investigation,Negative
NTPC reports record quarterly profit,Positive
DLF delays expansion project,Negative
Ashok Leyland share price hits 52-week low,Negative
Wipro faces SEBI investigation,Negative
Tata Power attracts foreign investment worth ₹Amazon crore,Positive
Power Grid reports decline in exports,Negative
Swiggy wins infrastructure project worth ₹PhonePe crore,Positive
ICICI Bank faces SEBI investigation,Negative
DLF receives RBI approval,Positive
NTPC stock falls after weak earnings,Negative
Asian Paints stock jumps after strong earnings,Positive
ICICI Bank misses analyst expectations,Negative
Vedanta net profit increases by Razorpay%,Positive
Axis Bank reports decline in exports,Negative
Tata Steel faces SEBI investigation,Negative
HDFC Bank announces expansion across India,Positive
Wipro expands manufacturing capacity,Positive
Infosys reports rising operating costs,Negative
Zomato receives RBI approval,Positive
Ashok Leyland faces legal dispute,Negative
HDFC Bank revenue declines by 9%,Negative
Swiggy signs partnership with Amazon,Positive
Infosys net profit increases by Google%,Positive
Wipro reports record quarterly profit,Positive
Maruti Suzuki receives RBI approval,Positive
SBI attracts foreign investment worth ₹Jio Platforms crore,Positive
Nestle India faces supply chain disruption,Negative
Wipro wins infrastructure project worth ₹PhonePe crore,Positive
Maruti Suzuki revenue declines by 28%,Negative
IRCTC net profit falls by 25%,Negative
ICICI Bank announces new EV production plant,Positive
Wipro receives RBI penalty,Negative
DLF revenue grows by Jio Platforms%,Positive
Vedanta reports weak demand in domestic market,Negative
NTPC signs partnership with Jio Platforms,Positive
NTPC share price reaches 52-week high,Positive
Nykaa reports decline in exports,Negative
Adani Ports announces expansion across India,Positive
Mahindra & Mahindra reports record quarterly profit,Positive
ONGC announces expansion across India,Positive
Coal India reports decline in customer growth,Negative
Reliance Industries reports strong export growth,Positive
Asian Paints reports strong export growth,Positive
JSW Steel expands manufacturing capacity,Positive
SBI attracts foreign investment worth ₹Jio Platforms crore,Positive
Power Grid faces cyber security breach,Negative
Adani Ports receives SEBI approval for new fund,Positive
Axis Bank net profit increases by NPCI%,Positive
ONGC expands manufacturing capacity,Positive
Axis Bank announces employee layoffs,Negative
ONGC revenue declines by 5%,Negative
Wipro reports decline in exports,Negative
JSW Steel reports weak demand in domestic market,Negative
Wipro declares special dividend,Positive
Power Grid faces supply chain disruption,Negative
Kotak Mahindra Bank announces new EV production plant,Positive
Paytm announces employee layoffs,Negative
DLF faces cyber security breach,Negative
Ashok Leyland delays expansion project,Negative
Ashok Leyland faces supply chain disruption,Negative
Wipro revenue grows by Amazon%,Positive
Maruti Suzuki launches AI-powered financial platform,Positive
Wipro announces expansion across India,Positive
Infosys announces employee layoffs,Negative
TVS Motors expands manufacturing capacity,Positive
Tata Motors announces expansion across India,Positive
Nestle India attracts foreign investment worth ₹Razorpay crore,Positive
Tata Power revenue grows by Microsoft%,Positive
Axis Bank share price hits 52-week low,Negative
UltraTech Cement stock falls after weak earnings,Negative
LIC reports weak demand in domestic market,Negative
Axis Bank revenue grows by Flipkart%,Positive
IRCTC launches AI-powered financial platform,Positive
Reliance Industries expands manufacturing capacity,Positive
Titan reports quarterly loss,Negative
Coal India faces supply chain disruption,Negative
Zomato faces cyber security breach,Negative
Vedanta share price reaches 52-week high,Positive
Titan receives RBI approval,Positive
Bajaj Finance receives RBI approval,Positive
UltraTech Cement receives major government contract,Positive
Adani Enterprises misses analyst expectations,Negative
Axis Bank share price hits 52-week low,Negative
Infosys stock falls after weak earnings,Negative
Coal India reports decline in customer growth,Negative
JSW Steel signs partnership with NPCI,Positive
Wipro reports rising operating costs,Negative
JSW Steel net profit falls by 25%,Negative
Swiggy attracts foreign investment worth ₹ISRO crore,Positive
Vedanta reports record quarterly profit,Positive
Adani Ports receives RBI penalty,Negative
Power Grid faces cyber security breach,Negative
UltraTech Cement share price hits 52-week low,Negative
Reliance Industries reports strong export growth,Positive
HCLTech net profit increases by Amazon%,Positive
DLF announces employee layoffs,Negative
Titan announces employee layoffs,Negative
Tata Steel revenue grows by Amazon%,Positive
HCLTech signs partnership with PhonePe,Positive
ONGC faces legal dispute,Negative
UltraTech Cement receives RBI penalty,Negative
Swiggy stock jumps after strong earnings,Positive
Asian Paints expands manufacturing capacity,Positive
Power Grid declares special dividend,Positive
Paytm delays expansion project,Negative
JSW Steel share price hits 52-week low,Negative
Zomato receives SEBI approval for new fund,Positive
Power Grid faces SEBI investigation,Negative
Titan reports record quarterly profit,Positive
IRCTC expands manufacturing capacity,Positive
Maruti Suzuki reports quarterly loss,Negative
UltraTech Cement project delayed due to regulatory issues,Negative
Kotak Mahindra Bank receives SEBI approval for new fund,Positive
Axis Bank reports decline in exports,Negative
Maruti Suzuki faces cyber security breach,Negative
UltraTech Cement attracts foreign investment worth ₹Google crore,Positive
Swiggy receives RBI penalty,Negative
Infosys stock falls after weak earnings,Negative
Maruti Suzuki reports rising operating costs,Negative
Vedanta receives RBI penalty,Negative
TCS receives RBI approval,Positive
Tata Steel reports record quarterly profit,Positive
Adani Ports announces employee layoffs,Negative
Nykaa receives RBI approval,Positive
DLF reports weak demand in domestic market,Negative
Nykaa revenue declines by 14%,Negative
Zomato stock jumps after strong earnings,Positive
Mahindra & Mahindra net profit increases by ISRO%,Positive
Paytm announces new EV production plant,Positive
ONGC expands manufacturing capacity,Positive
HCLTech net profit falls by 33%,Negative
JSW Steel reports record quarterly profit,Positive
Nestle India receives SEBI approval for new fund,Positive
Hindustan Unilever net profit increases by Amazon%,Positive
Tata Steel reports weak demand in domestic market,Negative
Bajaj Finance faces supply chain disruption,Negative
Kotak Mahindra Bank reports decline in customer growth,Negative
ONGC net profit falls by 14%,Negative
LIC signs partnership with ISRO,Positive
Mahindra & Mahindra net profit increases by DRDO%,Positive
ONGC delays expansion project,Negative
Power Grid revenue grows by Flipkart%,Positive
ICICI Bank announces new EV production plant,Positive
DLF stock falls after weak earnings,Negative
Adani Enterprises faces SEBI investigation,Negative
Tata Power misses analyst expectations,Negative
TVS Motors signs partnership with PhonePe,Positive
Tata Steel declares special dividend,Positive
SBI launches AI-powered financial platform,Positive
HDFC Bank receives major government contract,Positive
Paytm revenue grows by ISRO%,Positive
NTPC expands manufacturing capacity,Positive
Ashok Leyland misses analyst expectations,Negative
Axis Bank receives RBI penalty,Negative
Swiggy reports quarterly loss,Negative
Nestle India attracts foreign investment worth ₹ISRO crore,Positive
Tata Steel revenue declines by 9%,Negative
LIC reports weak demand in domestic market,Negative
Zomato reports decline in customer growth,Negative
SBI receives RBI approval,Positive
Zomato misses analyst expectations,Negative
DLF project delayed due to regulatory issues,Negative
Swiggy reports quarterly loss,Negative
UltraTech Cement announces new EV production plant,Positive
Titan revenue grows by Razorpay%,Positive
Vedanta expands manufacturing capacity,Positive
Nestle India announces employee layoffs,Negative
HDFC Bank expands manufacturing capacity,Positive
Adani Enterprises reports record quarterly profit,Positive
ONGC wins infrastructure project worth ₹DRDO crore,Positive
Bajaj Finance stock jumps after strong earnings,Positive
Titan reports weak demand in domestic market,Negative
Reliance Industries misses analyst expectations,Negative
Adani Green announces expansion across India,Positive
LIC faces supply chain disruption,Negative
Adani Ports faces SEBI investigation,Negative
Zomato faces legal dispute,Negative
Tata Steel receives major government contract,Positive
Kotak Mahindra Bank reports record quarterly profit,Positive
Kotak Mahindra Bank reports strong export growth,Positive
NTPC receives major government contract,Positive
Nykaa faces cyber security breach,Negative
Adani Ports project delayed due to regulatory issues,Negative
Tata Motors announces employee layoffs,Negative
Hindustan Unilever net profit increases by ISRO%,Positive
Reliance Industries expands manufacturing capacity,Positive
Vedanta misses analyst expectations,Negative
HDFC Bank stock falls after weak earnings,Negative
IRCTC project delayed due to regulatory issues,Negative
Nestle India revenue grows by Flipkart%,Positive
TVS Motors receives RBI approval,Positive
ONGC stock falls after weak earnings,Negative
Swiggy reports weak demand in domestic market,Negative
TCS delays expansion project,Negative
Bajaj Finance reports quarterly loss,Negative
SBI faces supply chain disruption,Negative
Tata Steel signs partnership with NPCI,Positive
Maruti Suzuki declares special dividend,Positive
TVS Motors attracts foreign investment worth ₹Microsoft crore,Positive
Reliance Industries attracts foreign investment worth ₹NVIDIA crore,Positive
LIC attracts foreign investment worth ₹Jio Platforms crore,Positive
DLF receives major government contract,Positive
Axis Bank attracts foreign investment worth ₹PhonePe crore,Positive
Adani Enterprises receives RBI approval,Positive
IRCTC attracts foreign investment worth ₹NPCI crore,Positive
Vedanta net profit falls by 17%,Negative
Adani Ports wins infrastructure project worth ₹Google crore,Positive
SBI announces new EV production plant,Positive
Nykaa reports record quarterly profit,Positive
Adani Ports delays expansion project,Negative
Coal India share price hits 52-week low,Negative
TVS Motors receives major government contract,Positive
ONGC share price hits 52-week low,Negative
Axis Bank announces new EV production plant,Positive
Hindustan Unilever stock jumps after strong earnings,Positive
Titan net profit increases by Microsoft%,Positive
Nestle India announces expansion across India,Positive
Tata Power net profit increases by Google%,Positive
ONGC reports decline in customer growth,Negative
Paytm reports strong digital payment growth,Positive
HCLTech revenue declines by 31%,Negative
HCLTech faces SEBI investigation,Negative
Wipro stock falls after weak earnings,Negative
Maruti Suzuki receives SEBI approval for new fund,Positive
Adani Enterprises net profit increases by Microsoft%,Positive
Hindustan Unilever reports rising operating costs,Negative
Swiggy attracts foreign investment worth ₹PhonePe crore,Positive
LIC share price reaches 52-week high,Positive
LIC net profit falls by 32%,Negative
Reliance Industries faces SEBI investigation,Negative
Adani Enterprises share price hits 52-week low,Negative
HDFC Bank attracts foreign investment worth ₹PhonePe crore,Positive
Kotak Mahindra Bank net profit increases by Razorpay%,Positive
IRCTC project delayed due to regulatory issues,Negative
JSW Steel reports decline in customer growth,Negative
Ashok Leyland declares special dividend,Positive
TVS Motors reports quarterly loss,Negative
UltraTech Cement launches AI-powered financial platform,Positive
DLF delays expansion project,Negative
Hindustan Unilever announces employee layoffs,Negative
Tata Steel stock jumps after strong earnings,Positive
ITC share price reaches 52-week high,Positive
Reliance Industries attracts foreign investment worth ₹NPCI crore,Positive
SBI misses analyst expectations,Negative
NTPC receives RBI approval,Positive
Swiggy faces SEBI investigation,Negative
TCS share price reaches 52-week high,Positive
Infosys reports record quarterly profit,Positive
Vedanta share price hits 52-week low,Negative
Nykaa reports strong digital payment growth,Positive
Asian Paints faces legal dispute,Negative
SBI share price hits 52-week low,Negative
Power Grid reports weak demand in domestic market,Negative
Asian Paints reports decline in exports,Negative
JSW Steel reports decline in exports,Negative
Paytm receives RBI approval,Positive
Paytm delays expansion project,Negative
Mahindra & Mahindra project delayed due to regulatory issues,Negative
Axis Bank faces SEBI investigation,Negative
Coal India reports weak demand in domestic market,Negative
Asian Paints faces legal dispute,Negative
Adani Green faces SEBI investigation,Negative
LIC wins infrastructure project worth ₹Google crore,Positive
Coal India reports strong export growth,Positive
Adani Enterprises net profit falls by 14%,Negative
Maruti Suzuki revenue declines by 20%,Negative
Axis Bank expands manufacturing capacity,Positive
Adani Ports faces SEBI investigation,Negative
Coal India reports quarterly loss,Negative
NTPC signs partnership with NVIDIA,Positive
Tata Steel share price reaches 52-week high,Positive
Adani Green revenue grows by PhonePe%,Positive
Adani Green revenue grows by Flipkart%,Positive
SBI stock jumps after strong earnings,Positive
Zomato reports record quarterly profit,Positive
Tata Steel announces employee layoffs,Negative
Wipro announces employee layoffs,Negative
Power Grid signs partnership with Flipkart,Positive
Tata Power announces expansion across India,Positive
ITC share price reaches 52-week high,Positive
Maruti Suzuki announces expansion across India,Positive
Power Grid revenue declines by 29%,Negative
Vedanta launches AI-powered financial platform,Positive
Wipro faces SEBI investigation,Negative
Hindustan Unilever launches AI-powered financial platform,Positive
TVS Motors announces employee layoffs,Negative
Mahindra & Mahindra declares special dividend,Positive
Tata Steel announces new EV production plant,Positive
ITC receives SEBI approval for new fund,Positive
SBI reports decline in customer growth,Negative
Adani Ports faces legal dispute,Negative
Maruti Suzuki attracts foreign investment worth ₹NVIDIA crore,Positive
HDFC Bank faces legal dispute,Negative
IRCTC share price hits 52-week low,Negative
Titan announces expansion across India,Positive
Mahindra & Mahindra attracts foreign investment worth ₹Flipkart crore,Positive
IRCTC net profit increases by PhonePe%,Positive
Power Grid share price hits 52-week low,Negative
Maruti Suzuki declares special dividend,Positive
Axis Bank faces cyber security breach,Negative
Axis Bank net profit falls by 26%,Negative
Adani Ports reports rising operating costs,Negative
ITC share price hits 52-week low,Negative
Tata Steel reports decline in exports,Negative
UltraTech Cement stock jumps after strong earnings,Positive
ONGC receives RBI penalty,Negative
TVS Motors attracts foreign investment worth ₹Razorpay crore,Positive
Maruti Suzuki reports decline in customer growth,Negative
Infosys attracts foreign investment worth ₹Amazon crore,Positive
Nestle India net profit increases by Razorpay%,Positive
Ashok Leyland revenue grows by ISRO%,Positive
Tata Power announces employee layoffs,Negative
Wipro reports quarterly loss,Negative
Infosys project delayed due to regulatory issues,Negative
Asian Paints launches AI-powered financial platform,Positive
Swiggy misses analyst expectations,Negative
Tata Motors faces supply chain disruption,Negative
IRCTC receives RBI penalty,Negative
Tata Power expands manufacturing capacity,Positive
Power Grid reports rising operating costs,Negative
TCS stock falls after weak earnings,Negative
Zomato signs partnership with Microsoft,Positive
Asian Paints announces expansion across India,Positive
NTPC signs partnership with Amazon,Positive
Maruti Suzuki announces new EV production plant,Positive
DLF announces expansion across India,Positive
Tata Power reports rising operating costs,Negative
Paytm faces SEBI investigation,Negative
ICICI Bank reports strong digital payment growth,Positive
Mahindra & Mahindra reports record quarterly profit,Positive
Nykaa reports rising operating costs,Negative
Tata Motors share price reaches 52-week high,Positive
ICICI Bank receives RBI approval,Positive
DLF receives SEBI approval for new fund,Positive
Tata Motors launches AI-powered financial platform,Positive
Maruti Suzuki launches AI-powered financial platform,Positive
Nykaa expands manufacturing capacity,Positive
Power Grid receives major government contract,Positive
Paytm reports weak demand in domestic market,Negative
UltraTech Cement project delayed due to regulatory issues,Negative
Mahindra & Mahindra revenue grows by ISRO%,Positive
TCS net profit falls by 10%,Negative
Ashok Leyland receives RBI approval,Positive
Axis Bank net profit falls by 17%,Negative
Adani Green announces expansion across India,Positive
Vedanta announces new EV production plant,Positive
Adani Ports receives RBI penalty,Negative
SBI reports strong digital payment growth,Positive
Asian Paints misses analyst expectations,Negative
Reliance Industries net profit falls by 15%,Negative
Adani Enterprises stock jumps after strong earnings,Positive
HCLTech reports strong export growth,Positive
Infosys attracts foreign investment worth ₹DRDO crore,Positive
Swiggy receives SEBI approval for new fund,Positive
Tata Power stock jumps after strong earnings,Positive
HCLTech wins infrastructure project worth ₹Flipkart crore,Positive
SBI announces expansion across India,Positive
HCLTech announces new EV production plant,Positive
